position;colour
[7,154,16];[255,165,30]
[-2,175,10];[182,79,20]
[-7,162,-10];[126,55,9]
[-7,163,-10];[128,55,12]
[6,166,13];[110,76,30]
[-1,146,14];[211,92,2]
[5,174,13];[255,209,31]
[5,173,13];[216,144,0]
[11,164,10];[156,74,34]
[12,162,10];[116,26,0]
[6,145,20];[239,128,13]
[-12,152,-14];[74,39,9]
[-1,145,15];[178,58,0]
[5,155,18];[250,163,24]
[6,151,19];[38,24,13]
[7,151,18];[38,24,13]
[-6,161,-8];[137,70,18]
[5,145,20];[236,121,12]
[0,144,16];[247,143,32]
[5,146,19];[237,122,15]
[12,163,11];[130,51,8]
[13,164,11];[93,36,9]
[5,151,19];[49,20,4]
[5,150,19];[119,57,0]
[8,154,9];[157,89,26]
[8,180,14];[242,138,23]
[10,181,14];[216,121,11]
[-6,158,-7];[35,28,22]
[5,147,19];[223,111,9]
[13,163,13];[33,9,0]
[14,163,13];[24,11,2]
[-6,160,-7];[20,16,17]
[2,180,12];[224,111,17]
[7,185,13];[209,103,3]
[7,154,10];[162,88,17]
[5,152,19];[23,8,5]
[12,185,16];[43,29,18]
[10,180,14];[234,151,31]
[-4,174,6];[205,110,30]
[6,149,19];[247,155,20]
[2,143,19];[243,161,17]
[-7,147,8];[160,65,7]
[-6,162,-7];[106,48,11]
[3,145,19];[241,156,5]
[-8,172,0];[46,22,12]
[2,145,19];[213,106,2]
[6,183,13];[242,189,11]
[-8,171,1];[99,33,7]
[-6,162,-5];[54,32,19]
[-6,162,-6];[87,51,27]
[1,144,18];[231,111,16]
[0,144,17];[243,137,37]
[17,189,17];[174,103,47]
[-6,164,-7];[140,60,11]
[6,179,13];[177,54,0]
[14,187,15];[226,134,11]
[19,185,16];[142,34,0]
[-3,145,14];[252,144,18]
[2,144,18];[233,134,5]
[-7,166,-8];[120,47,6]
[-6,164,-8];[133,57,7]
[7,171,12];[170,64,12]
[1,148,17];[162,64,3]
[1,148,16];[139,44,0]
[16,186,16];[233,127,27]
[2,145,17];[188,70,0]
[-7,168,-5];[132,59,18]
[-6,166,-5];[127,54,21]
[-6,166,-6];[134,59,20]
[1,152,18];[19,11,0]
[12,179,15];[221,113,12]
[13,179,15];[237,129,28]
[-8,153,8];[39,30,15]
[13,187,15];[253,188,34]
[12,182,15];[191,116,22]
[14,180,16];[110,54,27]
[0,149,16];[128,58,7]
[-9,166,1];[208,118,40]
[-8,166,1];[179,90,6]
[2,146,17];[204,92,10]
[-9,147,-16];[104,42,5]
[-10,146,-16];[98,44,6]
[-10,158,4];[167,123,86]
[-10,149,2];[130,48,8]
[19,183,17];[170,59,16]
[18,189,17];[90,63,44]
[18,184,16];[146,49,4]
[-6,171,5];[98,42,7]
[10,169,12];[51,13,2]
[1,147,16];[180,82,9]
[1,149,17];[103,42,11]
[1,149,16];[105,41,5]
[-1,176,10];[204,107,26]
[17,186,16];[140,36,0]
[-7,164,-10];[37,17,8]
[15,179,16];[88,64,64]
[16,180,16];[30,18,6]
[16,179,16];[109,94,87]
[12,162,11];[163,68,14]
[12,161,10];[134,43,0]
[-3,173,8];[136,56,0]
[2,144,19];[228,112,3]
[-8,173,0];[31,21,19]
[-8,166,0];[124,54,18]
[0,146,16];[174,66,2]
[7,172,12];[158,97,66]
[17,187,16];[179,62,18]
[9,164,10];[107,29,0]
[-4,169,8];[83,30,0]
[21,187,18];[122,83,42]
[4,184,13];[238,187,16]
[1,150,16];[64,28,14]
[7,166,11];[163,101,42]
[2,147,17];[166,61,4]
[0,148,16];[117,42,3]
[0,148,15];[135,57,11]
[1,147,17];[154,52,4]
[1,160,17];[232,167,37]
[2,151,19];[40,16,3]
[1,142,18];[227,143,19]
[13,183,15];[57,26,6]
[15,178,17];[112,88,78]
[2,150,17];[50,26,13]
[0,147,15];[137,51,2]
[0,151,16];[26,18,7]
[20,184,17];[193,69,0]
[9,167,11];[134,42,5]
[9,167,10];[188,96,45]
[21,189,17];[45,25,14]
[13,179,16];[247,162,35]
[0,161,15];[162,51,5]
[13,176,16];[243,152,22]
[10,165,10];[116,38,0]
[-8,169,0];[139,54,0]
[-7,173,4];[65,34,3]
[-6,174,4];[236,180,59]
[-6,171,6];[72,26,0]
[-5,171,6];[65,38,17]
[-7,173,5];[116,83,42]
[-7,174,4];[236,180,59]
[0,161,16];[238,152,39]
[1,161,16];[226,145,30]
[19,182,17];[126,40,7]
[8,162,10];[150,86,48]
[3,183,13];[249,177,15]
[0,162,16];[242,163,32]
[1,162,16];[214,112,2]
[-9,148,6];[133,55,6]
[-8,148,6];[140,57,3]
[14,186,16];[144,39,10]
[15,177,17];[133,71,22]
[15,182,16];[27,14,8]
[14,163,14];[17,7,5]
[21,188,18];[41,23,19]
[-1,153,15];[79,44,16]
[18,186,17];[207,86,7]
[13,172,15];[208,94,32]
[-6,175,5];[225,136,16]
[15,180,16];[33,23,11]
[-6,176,4];[236,155,4]
[6,164,14];[242,169,38]
[5,163,16];[129,63,2]
[-9,163,4];[241,161,64]
[1,161,17];[217,120,17]
[-5,174,6];[218,123,33]
[0,163,15];[177,70,0]
[-10,151,4];[105,63,25]
[1,143,17];[221,137,25]
[7,154,11];[124,74,13]
[16,173,17];[183,79,14]
[-8,153,7];[50,22,0]
[-8,163,5];[244,162,52]
[7,153,11];[95,60,22]
[17,173,17];[166,70,0]
[2,163,18];[242,164,27]
[2,162,18];[241,140,26]
[9,176,13];[200,87,9]
[-7,151,8];[35,25,15]
[-15,145,-16];[106,50,13]
[-16,145,-16];[71,35,11]
[6,162,15];[231,152,34]
[15,175,17];[180,71,4]
[15,175,16];[180,71,4]
[6,165,13];[113,72,28]
[5,166,14];[167,106,39]
[-9,164,2];[201,126,71]
[13,175,15];[203,88,5]
[-4,169,7];[166,99,44]
[-1,156,15];[151,62,0]
[13,178,16];[234,123,15]
[-4,149,11];[182,91,0]
[7,152,11];[60,36,12]
[-8,147,7];[139,58,15]
[-7,151,9];[36,22,9]
[1,163,16];[229,111,21]
[10,175,14];[178,72,0]
[13,159,10];[147,53,2]
[-3,156,11];[136,51,10]
[-6,162,7];[179,124,59]
[0,164,16];[243,180,25]
[8,148,16];[54,31,0]
[11,159,10];[135,57,11]
[11,159,9];[125,54,10]
[4,150,19];[94,33,5]
[1,175,14];[223,114,9]
[-6,169,6];[147,55,0]
[10,159,9];[77,26,0]
[10,158,9];[42,9,2]
[17,174,18];[92,58,31]
[-3,163,9];[144,61,7]
[10,160,9];[119,50,8]
[11,158,9];[75,20,0]
[9,136,18];[5,1,0]
[-3,170,10];[31,23,12]
[5,181,13];[248,173,30]
[-1,159,14];[153,63,3]
[-5,173,6];[68,37,9]
[11,156,9];[35,14,0]
[12,187,15];[247,183,77]
[10,174,13];[183,80,3]
[-5,167,7];[239,140,39]
[8,175,12];[171,75,17]
[8,136,19];[38,23,2]
[-2,167,10];[121,41,0]
[-6,155,10];[43,30,13]
[9,160,9];[23,4,0]
[-4,171,8];[36,28,17]
[-3,171,8];[36,27,12]
[-3,164,11];[146,60,9]
[8,174,12];[184,91,30]
[-8,171,4];[134,48,0]
[-8,172,3];[71,30,0]
[8,138,20];[30,17,1]
[9,160,10];[107,45,8]
[8,138,18];[33,29,18]
[-8,173,3];[47,21,4]
[0,159,15];[131,35,0]
[-2,147,14];[140,48,0]
[8,139,19];[32,23,24]
[8,137,20];[160,81,12]
[-1,178,11];[206,100,0]
[0,178,11];[212,110,2]
[-3,175,6];[174,75,16]
[-1,179,8];[172,81,8]
[-12,145,-16];[121,52,10]
[-12,144,-16];[118,48,10]
[-12,146,-16];[99,43,8]
[12,151,9];[38,19,5]
[12,151,8];[69,24,1]
[13,157,10];[116,36,0]
[14,158,10];[145,53,6]
[-7,167,-5];[124,52,14]
[-7,167,-6];[140,63,19]
[-7,167,-7];[145,63,15]
[-7,167,-8];[134,57,11]
[-6,172,5];[67,49,25]
[13,155,9];[25,6,0]
[-6,167,7];[226,129,34]
[14,153,10];[36,15,0]
[-8,159,6];[87,33,0]
[-7,159,6];[113,46,3]
[12,158,9];[115,35,0]
[-11,154,3];[23,17,17]
[-7,168,-3];[108,42,20]
[-7,168,-4];[117,49,14]
[-2,144,15];[229,144,2]
[-1,160,16];[180,88,3]
[-1,161,14];[193,86,14]
[8,149,13];[191,79,7]
[15,181,16];[27,14,5]
[-2,163,12];[147,60,6]
[14,157,10];[117,45,5]
[14,156,10];[113,37,3]
[9,172,12];[35,11,9]
[0,164,15];[186,91,11]
[12,180,16];[185,82,24]
[-1,165,14];[168,64,13]
[-10,149,1];[128,55,12]
[-1,162,14];[195,86,19]
[8,172,12];[64,21,12]
[12,184,16];[33,15,11]
[12,178,15];[244,163,45]
[13,151,9];[29,14,7]
[-1,173,11];[144,51,8]
[2,177,13];[242,132,19]
[-1,167,13];[191,104,35]
[12,186,16];[107,79,65]
[12,186,15];[46,26,15]
[-6,149,10];[161,78,12]
[-5,149,10];[153,69,23]
[-6,149,9];[165,78,7]
[7,180,13];[174,57,3]
[9,185,13];[228,137,30]
[0,180,11];[221,115,15]
[-2,147,13];[142,48,0]
[10,167,11];[117,31,0]
[13,181,16];[165,97,32]
[8,169,11];[165,67,18]
[9,185,14];[158,69,0]
[-1,175,11];[223,109,10]
[10,184,15];[149,57,8]
[16,175,17];[154,89,35]
[-10,160,4];[48,33,28]
[6,176,12];[247,167,26]
[-1,166,13];[167,73,9]
[-5,159,-4];[57,31,18]
[-4,154,-5];[64,37,20]
[-4,154,-6];[72,38,13]
[-9,149,0];[143,78,48]
[11,186,15];[60,39,18]
[11,185,15];[46,24,0]
[11,174,14];[182,74,12]
[2,179,13];[210,91,1]
[-6,161,-4];[31,28,19]
[-10,156,2];[35,32,27]
[-5,158,-7];[20,20,12]
[-5,157,-8];[21,20,18]
[-5,156,-8];[21,23,18]
[9,186,14];[143,52,0]
[9,170,11];[176,85,28]
[14,183,16];[24,9,2]
[-9,159,0];[35,31,32]
[-9,148,5];[134,54,1]
[9,183,14];[224,129,11]
[-7,158,-2];[32,29,24]
[-5,155,-7];[28,23,19]
[-4,154,-7];[51,25,10]
[-5,151,-5];[37,28,19]
[10,183,15];[180,84,7]
[-5,159,-6];[22,22,22]
[8,178,13];[190,73,0]
[-7,171,-3];[9,9,11]
[-7,170,-3];[85,37,17]
[-2,167,11];[111,35,3]
[5,179,13];[226,123,5]
[4,179,13];[247,174,19]
[11,174,13];[196,92,18]
[-7,160,-2];[72,44,22]
[-4,165,8];[128,37,0]
[-4,151,-9];[92,52,24]
[-4,150,-9];[43,23,16]
[-6,165,-5];[116,50,15]
[7,153,16];[250,185,23]
[-6,164,-5];[106,47,13]
[-7,151,-2];[33,24,19]
[-6,151,-3];[52,36,23]
[-7,163,-2];[81,35,11]
[-8,153,-1];[44,29,26]
[-8,152,-1];[39,30,25]
[-10,162,4];[210,162,114]
[-10,162,3];[186,137,94]
[2,182,13];[235,124,16]
[8,173,12];[38,8,0]
[9,173,12];[43,15,1]
[-8,157,-1];[36,32,29]
[-7,157,-2];[34,26,15]
[12,184,15];[55,24,6]
[13,182,16];[131,72,38]
[-10,158,1];[92,63,49]
[10,182,15];[217,131,18]
[-5,156,-5];[27,22,18]
[-5,156,-6];[23,23,13]
[-6,163,-4];[93,42,21]
[13,163,11];[113,42,10]
[-5,148,11];[155,63,14]
[-3,165,10];[189,103,52]
[-4,163,9];[131,43,0]
[16,174,18];[242,163,32]
[-2,173,9];[104,30,0]
[13,152,9];[26,16,4]
[19,185,17];[185,60,0]
[-7,156,-2];[42,28,17]
[-8,164,4];[204,109,1]
[-9,155,-1];[34,28,28]
[10,181,15];[232,145,16]
[-6,160,-3];[63,38,18]
[-6,159,-3];[61,35,20]
[-10,157,1];[62,44,30]
[11,182,15];[218,128,14]
[-5,158,-5];[54,36,26]
[12,180,15];[221,112,21]
[-5,154,-4];[47,38,23]
[-4,153,-5];[55,31,18]
[-4,151,-7];[34,24,12]
[-1,169,13];[31,18,9]
[-4,149,-6];[98,46,32]
[16,180,17];[24,14,12]
[16,179,17];[35,23,11]
[8,185,13];[183,82,2]
[-2,169,11];[40,22,12]
[1,179,13];[246,154,9]
[2,178,13];[214,96,0]
[-9,157,-1];[41,32,27]
[-9,156,-1];[42,31,25]
[8,171,12];[129,50,19]
[8,171,11];[99,18,0]
[-10,154,0];[53,39,26]
[-3,159,12];[200,98,14]
[-7,168,-2];[105,39,7]
[-4,163,8];[143,55,7]
[-3,177,8];[196,86,11]
[-2,169,12];[48,35,26]
[-1,169,12];[48,35,26]
[13,152,10];[19,12,4]
[14,152,10];[22,12,2]
[1,178,13];[251,181,25]
[7,184,13];[238,177,11]
[-7,164,6];[210,101,19]
[-6,152,-3];[39,26,20]
[2,174,14];[208,73,5]
[13,174,16];[254,182,38]
[13,174,15];[181,69,3]
[0,180,10];[226,120,21]
[-1,179,11];[198,85,7]
[-7,167,-3];[108,45,12]
[-5,157,-4];[25,23,24]
[-9,150,0];[101,42,12]
[-9,160,2];[26,23,18]
[-7,153,-2];[39,25,16]
[-8,155,-1];[33,25,22]
[-7,154,-2];[24,25,20]
[-2,171,10];[125,66,26]
[-2,170,11];[30,18,2]
[2,176,14];[250,190,14]
[-4,162,9];[177,90,19]
[-9,155,5];[28,21,15]
[-6,154,-3];[32,26,12]
[-4,161,9];[138,66,7]
[-3,164,10];[146,60,9]
[2,169,16];[111,91,67]
[0,166,15];[208,96,22]
[-5,154,-8];[51,27,17]
[-5,153,-8];[85,39,13]
[-5,155,-8];[26,20,20]
[-2,165,12];[186,92,38]
[-4,161,10];[138,66,7]
[3,165,16];[241,162,43]
[4,169,15];[64,46,26]
[-1,166,14];[144,48,0]
[-6,163,7];[246,144,44]
[1,172,15];[230,138,1]
[-4,152,-6];[33,24,15]
[-4,152,-7];[73,40,21]
[2,168,16];[88,61,40]
[-11,153,2];[30,21,14]
[-10,153,1];[43,30,22]
[3,166,16];[142,66,17]
[-15,146,-15];[51,29,6]
[-3,160,10];[106,43,0]
[7,151,12];[176,78,15]
[13,167,13];[125,51,12]
[4,165,15];[222,144,35]
[3,167,16];[186,103,27]
[-7,172,5];[56,29,8]
[5,164,15];[109,51,14]
[-4,151,-8];[45,27,15]
[-8,161,-1];[74,47,26]
[-6,162,-4];[54,35,28]
[3,169,16];[107,90,74]
[-7,165,-3];[109,47,24]
[-7,164,-3];[101,46,25]
[-5,156,-4];[27,23,20]
[11,170,13];[15,1,1]
[10,170,12];[32,17,10]
[2,170,15];[104,63,7]
[-2,171,12];[142,77,37]
[-10,156,1];[25,24,22]
[-1,170,13];[55,27,6]
[-10,148,4];[122,46,0]
[0,170,14];[47,19,0]
[-3,157,12];[164,55,0]
[10,184,14];[229,134,52]
[-21,144,-18];[173,86,17]
[15,182,17];[50,28,14]
[-6,169,5];[224,129,39]
[-1,172,12];[184,80,7]
[-2,162,11];[157,71,10]
[11,170,12];[14,2,2]
[0,180,12];[255,173,31]
[8,153,15];[213,101,25]
[-1,162,15];[189,81,34]
[-6,154,9];[30,23,13]
[-10,156,-15];[81,40,10]
[-8,155,-15];[60,35,13]
[-8,156,-14];[84,39,8]
[-9,150,-16];[79,34,5]
[-8,149,-16];[103,39,3]
[-6,154,-10];[18,19,14]
[-6,155,-11];[19,18,16]
[-6,154,-12];[15,15,13]
[-1,167,12];[171,91,42]
[-6,158,-11];[94,44,9]
[-6,157,-10];[35,24,18]
[-2,161,11];[178,83,0]
[-8,161,6];[202,155,111]
[-7,154,-14];[14,15,10]
[0,181,11];[210,98,0]
[-7,158,-13];[94,41,9]
[-5,168,6];[172,78,8]
[-10,155,-15];[70,40,16]
[-9,156,-15];[74,37,10]
[-8,148,-16];[111,46,6]
[-7,150,-15];[106,44,5]
[-6,153,10];[32,24,13]
[-3,160,11];[225,121,30]
[-9,152,-15];[21,16,10]
[9,162,10];[126,41,0]
[9,162,9];[142,72,36]
[-7,158,-11];[96,42,6]
[-7,157,-12];[82,38,9]
[-6,157,-12];[82,42,14]
[-6,157,-8];[27,23,22]
[2,182,12];[233,138,8]
[-6,149,-15];[110,46,0]
[-8,157,-14];[88,39,6]
[-8,158,-14];[88,39,6]
[-7,157,-14];[88,39,6]
[-6,149,-14];[117,48,7]
[-5,149,-14];[117,48,7]
[-6,148,-15];[123,56,4]
[-6,153,-11];[37,21,8]
[1,181,12];[203,87,2]
[-7,152,-14];[24,17,9]
[-7,151,-14];[93,40,9]
[-8,152,-15];[23,19,8]
[-2,172,9];[146,78,31]
[0,171,14];[243,162,19]
[-7,153,-14];[11,16,10]
[-6,152,-14];[36,17,2]
[-9,151,-15];[30,16,3]
[-10,150,-15];[47,24,8]
[-6,151,-12];[108,46,9]
[-6,150,-13];[111,47,9]
[-6,150,-14];[117,47,9]
[-6,151,-14];[105,45,11]
[-8,153,-15];[12,15,8]
[-8,154,-15];[24,17,9]
[-7,153,-15];[12,14,9]
[-4,153,12];[34,26,13]
[-3,153,12];[36,30,14]
[-7,154,-13];[18,17,13]
[-6,154,-13];[15,15,13]
[-6,155,-10];[18,17,15]
[-5,155,-9];[21,20,15]
[-5,154,-10];[17,18,12]
[-10,153,-15];[45,29,14]
[-2,158,12];[221,125,48]
[-5,157,10];[140,48,7]
[-9,156,-14];[76,36,8]
[-9,157,-15];[93,43,10]
[-7,157,-13];[94,45,12]
[-6,156,-12];[43,30,14]
[-5,152,-10];[92,41,10]
[-5,152,-11];[92,42,7]
[-6,152,-13];[52,23,5]
[-4,148,11];[202,96,18]
[9,163,10];[129,45,8]
[-1,180,10];[248,148,11]
[0,172,13];[177,72,14]
[-7,158,6];[202,112,26]
[7,154,12];[74,50,14]
[0,154,17];[139,56,2]
[0,154,16];[145,64,11]
[0,174,13];[217,96,5]
[-1,164,13];[134,35,0]
[1,180,12];[251,149,15]
[-1,168,14];[84,29,8]
[0,172,14];[235,143,20]
[-1,176,12];[207,103,4]
[0,167,14];[109,35,0]
[1,164,16];[198,70,5]
[2,177,14];[250,160,22]
[0,158,15];[183,90,12]
[-1,175,13];[225,105,27]
[0,175,14];[244,164,13]
[1,166,16];[182,89,11]
[-2,156,13];[151,70,15]
[-1,156,14];[143,58,3]
[-1,169,14];[32,14,2]
[-2,164,12];[167,72,16]
[6,154,18];[250,182,21]
[-3,149,12];[228,133,67]
[7,158,14];[252,199,21]
[2,174,15];[252,185,19]
[-9,154,-15];[26,22,11]
[-7,157,7];[154,86,65]
[-6,156,8];[60,38,14]
[-1,174,12];[149,40,0]
[-2,174,11];[204,110,58]
[-1,173,13];[214,110,15]
[0,177,13];[236,124,14]
[-5,170,7];[92,43,3]
[0,156,17];[246,149,34]
[0,156,16];[231,134,19]
[3,179,13];[252,207,20]
[-2,170,10];[29,18,12]
[-1,172,13];[206,101,17]
[-3,176,8];[200,93,37]
[-1,164,15];[162,58,0]
[-1,164,14];[168,59,3]
[12,167,12];[9,4,1]
[2,173,14];[244,147,16]
[-7,154,8];[39,29,19]
[-6,153,9];[41,33,20]
[7,147,10];[250,140,29]
[7,157,15];[238,158,45]
[8,147,14];[49,32,4]
[8,146,14];[59,34,1]
[-8,154,8];[97,69,47]
[8,152,12];[227,140,34]
[14,170,16];[180,73,3]
[10,168,11];[123,44,3]
[11,168,11];[120,56,21]
[12,171,13];[174,75,16]
[12,165,12];[56,23,6]
[13,166,12];[10,1,2]
[6,163,13];[202,135,64]
[8,153,14];[255,183,40]
[14,168,16];[152,59,15]
[6,163,14];[192,125,47]
[-1,148,14];[167,68,1]
[-1,172,11];[201,102,21]
[-3,158,11];[162,65,0]
[-2,177,10];[221,115,31]
[-4,170,8];[36,28,17]
[10,186,14];[106,56,23]
[-3,166,9];[135,47,1]
[-6,168,6];[204,110,40]
[-5,155,11];[83,54,24]
[-5,156,10];[123,70,20]
[8,149,9];[36,19,0]
[8,146,16];[195,91,2]
[14,166,14];[139,67,29]
[-7,150,8];[79,32,4]
[8,148,18];[241,147,21]
[19,181,17];[218,129,29]
[-6,163,6];[165,66,11]
[0,168,14];[76,49,32]
[-7,173,3];[129,105,61]
[7,150,11];[147,75,24]
[-6,150,10];[126,53,8]
[14,168,15];[165,61,10]
[14,166,16];[216,130,55]
[14,167,15];[146,45,14]
[7,154,14];[199,120,41]
[13,169,15];[153,51,2]
[13,169,14];[147,45,0]
[13,170,13];[134,42,1]
[-8,152,7];[33,26,16]
[14,168,14];[167,70,25]
[8,149,16];[56,39,9]
[7,147,9];[135,60,21]
[8,148,13];[136,45,0]
[14,170,15];[194,83,4]
[9,143,15];[246,158,34]
[6,142,21];[100,56,31]
[6,141,21];[19,10,11]
[8,140,18];[5,4,0]
[9,141,18];[34,17,10]
[20,190,17];[59,32,25]
[9,140,16];[69,42,25]
[7,141,20];[12,6,6]
[8,140,19];[17,13,10]
[10,139,13];[46,14,0]
[9,141,12];[60,22,9]
[9,141,11];[57,17,7]
[9,138,16];[129,54,22]
[7,155,16];[248,162,23]
[15,169,16];[201,97,10]
[9,139,10];[88,27,0]
[10,140,12];[71,26,7]
[10,140,11];[65,18,2]
[8,151,13];[255,164,38]
[8,150,13];[255,166,40]
[9,140,11];[69,15,3]
[9,140,10];[60,5,0]
[7,148,10];[193,81,7]
[9,141,15];[162,88,41]
[7,142,20];[43,16,5]
[11,153,9];[17,13,4]
[8,139,18];[26,14,2]
[9,139,17];[75,31,6]
[7,140,20];[30,27,22]
[9,142,18];[112,72,46]
[9,143,11];[109,52,23]
[9,142,14];[150,49,0]
[9,143,14];[235,141,19]
[9,141,8];[59,6,0]
[8,144,16];[255,152,31]
[6,161,15];[189,79,0]
[22,190,18];[222,120,19]
[-5,146,12];[245,142,14]
[10,146,8];[61,33,11]
[8,146,7];[128,55,0]
[8,144,14];[223,134,18]
[7,157,11];[251,162,34]
[-3,174,7];[149,56,0]
[8,148,8];[31,12,0]
[12,165,11];[84,26,2]
[9,141,14];[135,47,1]
[9,149,7];[122,59,18]
