position;colour
[-81,201,105];[41,52,90]
[-78,200,105];[38,49,87]
[-79,200,105];[38,49,87]
[-78,199,105];[41,52,90]
[-79,199,105];[41,52,90]
[-82,199,104];[38,49,87]
[-79,198,105];[32,44,79]
[-83,198,104];[35,46,79]
[-83,195,104];[40,47,68]
[-84,195,104];[35,46,84]
[-77,200,106];[29,47,82]
[-77,199,106];[38,43,62]
[-78,201,105];[41,52,90]
[-78,200,106];[38,49,87]
[-78,198,106];[16,28,57]
[-79,201,105];[35,46,84]
[-79,199,106];[41,52,90]
[-80,202,105];[35,46,84]
[-80,198,105];[41,52,90]
[-80,197,105];[38,47,68]
[-81,203,104];[38,49,87]
[-81,200,105];[38,49,87]
[-81,197,105];[35,48,84]
[-81,196,105];[35,48,84]
[-82,204,104];[29,45,76]
[-82,202,104];[41,52,90]
[-82,201,104];[38,50,87]
[-82,197,105];[29,44,79]
[-82,196,105];[41,52,90]
[-82,195,105];[40,47,68]
[-83,200,104];[41,52,90]
[-83,199,104];[38,48,84]
[-83,197,105];[35,48,84]
[-83,196,105];[40,47,68]
[-83,195,105];[40,47,68]
[-84,197,104];[35,46,79]
[-84,196,105];[38,49,87]
[-85,194,104];[43,49,71]
[-85,193,104];[16,28,57]
[-72,214,106];[68,67,68]
[-99,187,102];[57,44,41]
[-100,187,103];[90,79,74]
[-112,189,95];[79,70,68]
[-114,193,93];[90,77,74]
[-116,190,92];[90,79,74]
[-112,196,94];[115,107,106]
[-112,192,95];[79,70,68]
[-114,192,93];[82,69,66]
[-114,191,94];[82,69,66]
[-113,190,94];[79,70,68]
[-113,187,95];[79,70,68]
[-112,186,96];[79,70,68]
[-111,196,94];[98,90,90]
[-111,185,97];[82,73,74]
[-112,194,94];[79,70,68]
[-113,191,94];[79,70,68]
[-113,188,95];[79,70,68]
[-114,189,93];[76,70,68]
[-114,188,94];[79,70,68]
[-115,191,92];[90,79,74]
[-115,190,93];[82,69,66]
[-115,189,93];[76,70,68]
[-110,268,47];[93,79,77]
[-110,267,48];[82,69,66]
[-110,266,48];[90,81,82]
[-111,265,49];[90,81,82]
[-111,264,49];[84,75,74]
[-112,262,50];[82,73,66]
[-120,193,86];[74,65,66]
[-121,197,82];[57,52,49]
[-123,195,81];[90,88,87]
[-122,198,82];[74,65,66]
[-121,196,84];[84,78,73]
[-122,196,81];[90,88,87]
[-123,196,80];[73,64,65]
[-120,195,85];[90,77,74]
[-122,195,81];[156,162,165]
[-123,194,81];[173,174,181]
[-124,194,78];[74,69,66]
[-119,193,86];[74,65,66]
[-121,193,83];[68,59,60]
[-119,191,88];[74,65,66]
[-119,193,87];[104,92,90]
[-120,196,84];[112,104,98]
[-120,194,85];[74,65,66]
[-121,198,82];[74,65,66]
[-121,197,83];[84,78,73]
[-121,193,84];[74,65,66]
[-121,192,84];[76,67,66]
[-122,199,81];[74,65,66]
[-122,197,81];[57,52,49]
[-122,196,82];[57,52,49]
[-122,195,82];[123,125,126]
[-122,193,82];[68,59,60]
[-123,193,80];[73,68,65]
[-124,194,79];[73,68,65]
[-62,282,67];[170,155,148]
[-63,283,66];[145,134,128]
[-60,284,65];[165,154,148]
[-62,283,65];[145,134,128]
[-66,281,65];[140,125,123]
[-61,284,64];[148,135,128]
[-62,284,63];[142,126,123]
[-69,280,64];[129,114,112]
[-58,287,63];[173,158,148]
[-59,286,64];[165,150,148]
[-60,285,65];[165,154,148]
[-60,285,64];[165,154,148]
[-61,284,66];[165,154,148]
[-61,285,64];[148,135,128]
[-61,285,63];[140,130,123]
[-62,283,67];[170,155,148]
[-62,284,65];[148,135,128]
[-62,284,64];[140,130,123]
[-62,285,63];[142,126,123]
[-63,283,65];[140,130,123]
[-63,283,64];[142,126,123]
[-63,284,63];[142,126,123]
[-64,282,66];[142,129,126]
[-64,282,65];[142,126,123]
[-64,283,64];[142,126,123]
[-64,283,63];[140,125,123]
[-65,281,66];[140,128,123]
[-65,282,65];[140,128,123]
[-67,281,65];[134,120,118]
[-67,281,64];[134,120,118]
[-68,281,64];[134,120,118]
[-69,281,64];[129,114,112]
[-122,223,68];[74,69,66]
[-122,246,46];[99,89,82]
[-121,243,45];[82,69,66]
[-118,256,42];[99,85,82]
[-114,264,40];[131,117,115]
[-115,261,41];[112,98,95]
[-118,255,42];[90,81,74]
[-119,252,43];[90,77,74]
[-119,251,44];[82,73,66]
[-120,250,45];[173,158,156]
[-121,247,46];[87,74,71]
[-121,246,46];[82,69,66]
[-120,246,44];[82,69,66]
[-122,243,46];[82,69,66]
[-116,261,41];[115,101,99]
[-116,260,41];[128,116,112]
[-117,258,42];[137,122,121]
[-118,254,42];[90,77,74]
[-119,252,44];[90,77,74]
[-119,251,43];[82,73,66]
[-120,249,44];[82,73,66]
[-120,248,44];[82,73,66]
[-121,248,45];[82,73,66]
[-121,246,45];[82,69,66]
[-121,245,45];[82,69,66]
[-122,245,46];[84,71,68]
[-122,244,46];[82,69,66]
[-122,243,45];[82,69,66]
[-122,241,45];[82,73,74]
[-123,241,46];[76,63,60]
[-113,248,61];[62,57,60]
[-120,236,60];[41,32,24]
[-88,264,74];[120,109,101]
[-87,262,74];[74,65,66]
[-87,263,74];[123,109,99]
[-89,264,74];[120,109,101]
[-89,263,75];[115,105,99]
[-38,222,103];[87,74,71]
[-26,245,101];[134,121,117]
[-27,243,101];[126,113,109]
[-26,247,100];[107,89,82]
[-29,239,100];[112,94,95]
[-31,234,100];[107,93,90]
